# Melhores coberturas conhecidas no mundo, e melhores limites inferiores
# já provados, para o covering design C(v,k,t).
#
# Fonte: La Jolla Covering Repository, D. M. Gordon.
#   https://github.com/dmgordo/LJCR
# Licença: Creative Commons Attribution 4.0 (CC BY 4.0).
#
# Gerado por ferramentas/atualizar-referencia.py — não editar à mão.
#
# v,k,t,melhor_conhecido,limite_publicado
21,19,8,9,9
21,20,2,3,3
21,20,3,4,4
21,20,4,5,5
21,20,5,6,6
21,20,6,7,7
21,20,7,8,8
21,20,8,9,9
22,3,2,81,81
22,4,2,39,39
22,4,3,385,385
22,5,2,27,27
22,5,3,172,163
22,5,4,1573,1549
22,6,2,19,19
22,6,3,77,77
22,6,4,580,539
22,6,5,4676,4389
22,7,2,13,13
22,7,3,59,54
22,7,4,252,233
22,7,5,1584,1364
22,7,6,13038,11308
22,8,2,11,11
22,8,3,38,36
22,8,4,152,132
22,8,5,688,528
22,8,6,3659,2838
22,8,7,26569,21648
22,9,2,9,9
22,9,3,28,27
22,9,4,95,79
22,9,5,362,277
22,9,6,1511,1054
22,9,7,8024,5469
22,9,8,46310,38263
22,10,2,7,7
22,10,3,19,17
22,10,4,54,47
22,10,5,184,146
22,10,6,730,427
22,10,7,2525,1686
22,10,8,12658,7153
22,11,2,6,6
22,11,3,15,14
22,11,4,38,32
22,11,5,108,84
22,11,6,342,228
22,11,7,1131,694
22,11,8,4324,2466
22,12,2,6,6
22,12,3,11,11
22,12,4,28,24
22,12,5,63,50
22,12,6,157,114
22,12,7,436,316
22,12,8,1362,847
22,13,2,5,5
22,13,3,11,9
22,13,4,22,19
22,13,5,48,34
22,13,6,104,72
22,13,7,240,149
22,13,8,575,354
22,14,2,4,4
22,14,3,8,8
22,14,4,17,15
22,14,5,33,24
22,14,6,66,40
22,14,7,129,82
22,14,8,270,180
22,15,2,3,3
22,15,3,6,6
22,15,4,12,11
22,15,5,22,18
22,15,6,46,31
22,15,7,90,53
22,15,8,163,100
22,16,2,3,3
22,16,3,5,5
22,16,4,9,9
22,16,5,14,13
22,16,6,24,20
22,16,7,40,32
22,16,8,71,51
22,17,2,3,3
22,17,3,4,4
22,17,4,7,7
